id,repo,commit,source,target,file path,lines,flag,source APIs,target APIs,source program elements,target program elements,cardinality,properties,comments,commit URL,migration id,file id,candidate source lines,candidate target lines,7,7
S1,heyman/locust,4067b929fab7691a12ad91bf70e3738d715e860e,bottle,flask,locust/web.py,"2,6:9",,bottle;route;run;send_file,flask;Flask;make_response,import,import,many-to-one,no properties,,https://github.com/heyman/locust/commit/4067b929fab7691a12ad91bf70e3738d715e860e,bottle__flask__heyman/locust__4067b929,bottle__flask__heyman/locust__4067b929__locust/web.py,"2,6,14,16,18,20,27,47,50","9-11,17,19-21,23,29",,
S2,heyman/locust,4067b929fab7691a12ad91bf70e3738d715e860e,bottle,flask,locust/web.py,47:10,,default_app,Flask,function call,function call,one-to-one,element name change;argument addition,,https://github.com/heyman/locust/commit/4067b929fab7691a12ad91bf70e3738d715e860e,bottle__flask__heyman/locust__4067b929,bottle__flask__heyman/locust__4067b929__locust/web.py,,,,
S3,heyman/locust,4067b929fab7691a12ad91bf70e3738d715e860e,bottle,flask,locust/web.py,:11,,root_path,,no program element,attribute access,zero-to-one,no properties,,https://github.com/heyman/locust/commit/4067b929fab7691a12ad91bf70e3738d715e860e,bottle__flask__heyman/locust__4067b929,bottle__flask__heyman/locust__4067b929__locust/web.py,,,,
S4,heyman/locust,4067b929fab7691a12ad91bf70e3738d715e860e,bottle,flask,locust/web.py,14:,,@route,,decorator,no program element,one-to-zero,no properties,I suspected that line 11 in source is related to lines 14-16 in target for setting the path but then the function static_file is not really used anywhere so left things as is for the code changes,https://github.com/heyman/locust/commit/4067b929fab7691a12ad91bf70e3738d715e860e,bottle__flask__heyman/locust__4067b929,bottle__flask__heyman/locust__4067b929__locust/web.py,,,,
S5,heyman/locust,4067b929fab7691a12ad91bf70e3738d715e860e,bottle,flask,locust/web.py,16:,unsure,,,,,,,"I'm still not sure about these lines tbh. if the function is not being used anywhere, is its removal really part of the migration or just cleanup? So should this row be in the code changeS?",https://github.com/heyman/locust/commit/4067b929fab7691a12ad91bf70e3738d715e860e,bottle__flask__heyman/locust__4067b929,bottle__flask__heyman/locust__4067b929__locust/web.py,,,,
S6,heyman/locust,4067b929fab7691a12ad91bf70e3738d715e860e,bottle,flask,locust/web.py,18:17,,@route,@route,decorator,decorator,one-to-one,no properties,"in the source, it is bottle.route (i.e., part of the module directly) while in the target, it is accessed from the Flask object instance. however, I don't think this requires any properties because it is basically boot.@roote replaced with Flask().@route()? UNless we treat this as one to many with decorator being replaced by function call + decorator? ",https://github.com/heyman/locust/commit/4067b929fab7691a12ad91bf70e3738d715e860e,bottle__flask__heyman/locust__4067b929,bottle__flask__heyman/locust__4067b929__locust/web.py,,,,
S7,heyman/locust,4067b929fab7691a12ad91bf70e3738d715e860e,bottle,flask,locust/web.py,20:19-21,,send_file,make_response;read;headers,function call,attribute access; function call,one-to-many,element name change; argument trasformation,,https://github.com/heyman/locust/commit/4067b929fab7691a12ad91bf70e3738d715e860e,bottle__flask__heyman/locust__4067b929,bottle__flask__heyman/locust__4067b929__locust/web.py,,,,
S8,ctlearn-project/ctlearn,2375af87fa36b7c93c5a3be5cab81784d4a2f64e,configparser,configobj,ctalearn/scripts/run_model.py,2:2-3,,configparser,ConfigObj;Validator,import,import,one-to-many,no properties,,https://github.com/ctlearn-project/ctlearn/commit/2375af87fa36b7c93c5a3be5cab81784d4a2f64e,configparser__configobj__ctlearn-project/ctlearn__2375af87,configparser__configobj__ctlearn-project/ctlearn__2375af87__ctalearn/scripts/run_model.py,"2,45,53-56,60,63,65,73-75,78,80-81,87,89-91,93,95,97,99,101,103,105,107,116-117,119-121,123,129,133,138-139,142,148,499-500,502","2-3,48,56-59,61,64,66,73,81,86-87,91,96,98,101,103,107-108,110,116,436-438,443-445,447",,
S9,ctlearn-project/ctlearn,2375af87fa36b7c93c5a3be5cab81784d4a2f64e,configparser,configobj,ctalearn/scripts/run_model.py,499-500:437-438,,ConfigParser;read,ConfigObj,function call,function call,one-to-many,argument addition,,https://github.com/ctlearn-project/ctlearn/commit/2375af87fa36b7c93c5a3be5cab81784d4a2f64e,configparser__configobj__ctlearn-project/ctlearn__2375af87,configparser__configobj__ctlearn-project/ctlearn__2375af87__ctalearn/scripts/run_model.py,,,,
S10,ctlearn-project/ctlearn,2375af87fa36b7c93c5a3be5cab81784d4a2f64e,configparser,configobj,ctalearn/scripts/run_model.py,":436,443",,,Validator;validate,no program element,function call,zero-to-many,,"basically, this new lib alllows validating the config options according to a spec so these new lines include this validation process (there is no corresponding lines in the source lib client code)",https://github.com/ctlearn-project/ctlearn/commit/2375af87fa36b7c93c5a3be5cab81784d4a2f64e,configparser__configobj__ctlearn-project/ctlearn__2375af87,configparser__configobj__ctlearn-project/ctlearn__2375af87__ctalearn/scripts/run_model.py,,,,
S11,codesy/codesy,b5824f4f99b62978952b489d10d558e681c69497,csv,unicodecsv,codesy/base/admin.py,1:2,,csv,unicodecsv,import,import,,,,https://github.com/codesy/codesy/commit/b5824f4f99b62978952b489d10d558e681c69497,csv__unicodecsv__codesy/codesy__b5824f4f,csv__unicodecsv__codesy/codesy__b5824f4f__codesy/base/admin.py,"1,19","2,20",,
S12,codesy/codesy,b5824f4f99b62978952b489d10d558e681c69497,csv,unicodecsv,codesy/base/admin.py,19:20,,writer,writer,function call,function call,one-to-one,argument addition,,https://github.com/codesy/codesy/commit/b5824f4f99b62978952b489d10d558e681c69497,csv__unicodecsv__codesy/codesy__b5824f4f,csv__unicodecsv__codesy/codesy__b5824f4f__codesy/base/admin.py,,,,
S13,rapid-design-of-systems-laboratory/beluga,078e3e56fe5b86d9c188aaf249a72296bd6fa753,dill,cloudpickle,beluga/beluga.py,8:8,,dill,cloudpickle,import,import,one-to-one,no properties,,https://github.com/rapid-design-of-systems-laboratory/beluga/commit/078e3e56fe5b86d9c188aaf249a72296bd6fa753,dill__cloudpickle__rapid-design-of-systems-laboratory/beluga__078e3e56,dill__cloudpickle__rapid-design-of-systems-laboratory/beluga__078e3e56__beluga/beluga.py,"8,141-142","8,141",,
S14,rapid-design-of-systems-laboratory/beluga,078e3e56fe5b86d9c188aaf249a72296bd6fa753,dill,cloudpickle,beluga/beluga.py,141-142:141,,settings;dump,dump,attribute access; function call,function call,many-to-one,no properties,,https://github.com/rapid-design-of-systems-laboratory/beluga/commit/078e3e56fe5b86d9c188aaf249a72296bd6fa753,dill__cloudpickle__rapid-design-of-systems-laboratory/beluga__078e3e56,dill__cloudpickle__rapid-design-of-systems-laboratory/beluga__078e3e56__beluga/beluga.py,,,,
S15,rapid-design-of-systems-laboratory/beluga,078e3e56fe5b86d9c188aaf249a72296bd6fa753,dill,cloudpickle,beluga/visualization/datasources.py,2:2,,dill,cloudpickle,import,import,one-to-one,no properties,,https://github.com/rapid-design-of-systems-laboratory/beluga/commit/078e3e56fe5b86d9c188aaf249a72296bd6fa753,dill__cloudpickle__rapid-design-of-systems-laboratory/beluga__078e3e56,dill__cloudpickle__rapid-design-of-systems-laboratory/beluga__078e3e56__beluga/visualization/datasources.py,"2,54","2,54",,
S16,rapid-design-of-systems-laboratory/beluga,078e3e56fe5b86d9c188aaf249a72296bd6fa753,dill,cloudpickle,beluga/visualization/datasources.py,54:54,,load,load,function call,function call,one-to-one,no properties,,https://github.com/rapid-design-of-systems-laboratory/beluga/commit/078e3e56fe5b86d9c188aaf249a72296bd6fa753,dill__cloudpickle__rapid-design-of-systems-laboratory/beluga__078e3e56,dill__cloudpickle__rapid-design-of-systems-laboratory/beluga__078e3e56__beluga/visualization/datasources.py,,,,
S17,obsidianforensics/hindsight,973b3d3278609c144f11542bd24164243ee165af,leveldb,plyvel,pyhindsight/browsers/chrome.py,1656:1656,,leveldb,pyleveldb,import,import,one-to-one,no properties,,https://github.com/obsidianforensics/hindsight/commit/973b3d3278609c144f11542bd24164243ee165af,leveldb__plyvel__obsidianforensics/hindsight__973b3d32,leveldb__plyvel__obsidianforensics/hindsight__973b3d32__pyhindsight/browsers/chrome.py,1656,"1,656",,
S18,obsidianforensics/hindsight,973b3d3278609c144f11542bd24164243ee165af,leveldb,plyvel,pyhindsight/utils.py,104:104,,leveldb,pyleveldb,import,import,one-to-one,no properties,,https://github.com/obsidianforensics/hindsight/commit/973b3d3278609c144f11542bd24164243ee165af,leveldb__plyvel__obsidianforensics/hindsight__973b3d32,leveldb__plyvel__obsidianforensics/hindsight__973b3d32__pyhindsight/utils.py,"104,115,121","104,115,121",,
S19,obsidianforensics/hindsight,973b3d3278609c144f11542bd24164243ee165af,leveldb,plyvel,pyhindsight/utils.py,115:115,,LevelDB,DB,function call,function call,one-to-one,element name change,,https://github.com/obsidianforensics/hindsight/commit/973b3d3278609c144f11542bd24164243ee165af,leveldb__plyvel__obsidianforensics/hindsight__973b3d32,leveldb__plyvel__obsidianforensics/hindsight__973b3d32__pyhindsight/utils.py,,,,
S20,obsidianforensics/hindsight,973b3d3278609c144f11542bd24164243ee165af,leveldb,plyvel,pyhindsight/utils.py,121:121,,RangeIterator,Iterator,function call,function call,one-to-one,element name change,,https://github.com/obsidianforensics/hindsight/commit/973b3d3278609c144f11542bd24164243ee165af,leveldb__plyvel__obsidianforensics/hindsight__973b3d32,leveldb__plyvel__obsidianforensics/hindsight__973b3d32__pyhindsight/utils.py,,,,
S21,aws/aws-parallelcluster,d49460ac5ca5ac3c5728ef7f13471f0682d7e966,paramiko,fabric,tests/integration-tests/remote_command_executor.py,16:16,,AutoAddPolicy;SSHClient,Connection,import,import,one-to-one,no properties,,https://github.com/aws/aws-parallelcluster/commit/d49460ac5ca5ac3c5728ef7f13471f0682d7e966,paramiko__fabric__aws/aws-parallelcluster__d49460ac,paramiko__fabric__aws/aws-parallelcluster__d49460ac__tests/integration-tests/remote_command_executor.py,"16,45-48,51,56,74","16,38,48,71,96,105",,
S22,aws/aws-parallelcluster,d49460ac5ca5ac3c5728ef7f13471f0682d7e966,paramiko,fabric,tests/integration-tests/remote_command_executor.py,45-51:38-43,,SSHClient;load_system_host_keys;set_missing_host_key_policy;connect,Connection,function call,function call,many-to-one,argument transformation,,https://github.com/aws/aws-parallelcluster/commit/d49460ac5ca5ac3c5728ef7f13471f0682d7e966,paramiko__fabric__aws/aws-parallelcluster__d49460ac,paramiko__fabric__aws/aws-parallelcluster__d49460ac__tests/integration-tests/remote_command_executor.py,,,,
S23,aws/aws-parallelcluster,d49460ac5ca5ac3c5728ef7f13471f0682d7e966,paramiko,fabric,tests/integration-tests/remote_command_executor.py,51:,,open_sftp,,function call,no program element,one-to-zero,,this call belongs to the source lib and has no match in target so gets removed,https://github.com/aws/aws-parallelcluster/commit/d49460ac5ca5ac3c5728ef7f13471f0682d7e966,paramiko__fabric__aws/aws-parallelcluster__d49460ac,paramiko__fabric__aws/aws-parallelcluster__d49460ac__tests/integration-tests/remote_command_executor.py,,,,
S24,aws/aws-parallelcluster,d49460ac5ca5ac3c5728ef7f13471f0682d7e966,paramiko,fabric,tests/integration-tests/remote_command_executor.py,56:48,,close,close,function call,function call,one-to-one,no properties,,https://github.com/aws/aws-parallelcluster/commit/d49460ac5ca5ac3c5728ef7f13471f0682d7e966,paramiko__fabric__aws/aws-parallelcluster__d49460ac,paramiko__fabric__aws/aws-parallelcluster__d49460ac__tests/integration-tests/remote_command_executor.py,,,,
S25,aws/aws-parallelcluster,d49460ac5ca5ac3c5728ef7f13471f0682d7e966,paramiko,fabric,tests/integration-tests/remote_command_executor.py,74-79:71-73,,exec_command;RemoteCommandResult,run;stdout;stdin,function call,attribute access; function call,one-to-one,argument addition;element name change;argument trasnformation,You didn't indicate change lines here but i believe the lines need to be changed,https://github.com/aws/aws-parallelcluster/commit/d49460ac5ca5ac3c5728ef7f13471f0682d7e966,paramiko__fabric__aws/aws-parallelcluster__d49460ac,paramiko__fabric__aws/aws-parallelcluster__d49460ac__tests/integration-tests/remote_command_executor.py,,,,
S26,aws/aws-parallelcluster,d49460ac5ca5ac3c5728ef7f13471f0682d7e966,paramiko,fabric,tests/integration-tests/remote_command_executor.py,80:74,,return_code,failed,attribute access,attribute access,one-to-one,no properties,,https://github.com/aws/aws-parallelcluster/commit/d49460ac5ca5ac3c5728ef7f13471f0682d7e966,paramiko__fabric__aws/aws-parallelcluster__d49460ac,paramiko__fabric__aws/aws-parallelcluster__d49460ac__tests/integration-tests/remote_command_executor.py,,,,
S27,aws/aws-parallelcluster,d49460ac5ca5ac3c5728ef7f13471f0682d7e966,paramiko,fabric,tests/integration-tests/remote_command_executor.py,102:96,,put,put,function call,function call,one-to-one,no properties,,https://github.com/aws/aws-parallelcluster/commit/d49460ac5ca5ac3c5728ef7f13471f0682d7e966,paramiko__fabric__aws/aws-parallelcluster__d49460ac,paramiko__fabric__aws/aws-parallelcluster__d49460ac__tests/integration-tests/remote_command_executor.py,,,,
S28,aws/aws-parallelcluster,d49460ac5ca5ac3c5728ef7f13471f0682d7e966,paramiko,fabric,tests/integration-tests/remote_command_executor.py,111:105,,put,put,function call,function call,one-to-one,no properties,,https://github.com/aws/aws-parallelcluster/commit/d49460ac5ca5ac3c5728ef7f13471f0682d7e966,paramiko__fabric__aws/aws-parallelcluster__d49460ac,paramiko__fabric__aws/aws-parallelcluster__d49460ac__tests/integration-tests/remote_command_executor.py,,,,
S29,pimoroni/inky,cba36514eb8c881f8bd1d92b0b6a5bf12b4b72fb,smbus-cffi,smbus2,library/inky/eeprom.py,7:7,,smbus,SMBus,import,import,one-to-one,no properties,,https://github.com/pimoroni/inky/commit/cba36514eb8c881f8bd1d92b0b6a5bf12b4b72fb,smbus-cffi__smbus2__pimoroni/inky__cba36514,smbus-cffi__smbus2__pimoroni/inky__cba36514__library/inky/eeprom.py,"7,98","7,98",,
S30,pimoroni/inky,cba36514eb8c881f8bd1d92b0b6a5bf12b4b72fb,smbus-cffi,smbus2,library/inky/eeprom.py,98:98,,SMBus,SMBus,function call,function call,one-to-one,no properties,,https://github.com/pimoroni/inky/commit/cba36514eb8c881f8bd1d92b0b6a5bf12b4b72fb,smbus-cffi__smbus2__pimoroni/inky__cba36514,smbus-cffi__smbus2__pimoroni/inky__cba36514__library/inky/eeprom.py,,,,
S31,pimoroni/inky,cba36514eb8c881f8bd1d92b0b6a5bf12b4b72fb,smbus-cffi,smbus2,library/inky/inky.py,16:16,,smbus,SMBus,import,import,one-to-one,no properties,,https://github.com/pimoroni/inky/commit/cba36514eb8c881f8bd1d92b0b6a5bf12b4b72fb,smbus-cffi__smbus2__pimoroni/inky__cba36514,smbus-cffi__smbus2__pimoroni/inky__cba36514__library/inky/inky.py,16,16,,
